,Treatment,Accession,Reference,Gene.Symbol,Count,Unique,Row,enriched
849,T,Q60596,sp|Q60596|XRCC1_MOUSE,Xrcc1,3,3,849,FALSE
914,T,Q6A0A9,sp|Q6A0A9|F120A_MOUSE,FAM120A,3,3,914,FALSE
947,T,Q7TMM9,sp|Q7TMM9|TBB2A_MOUSE,Tubb2a,3,3,947,FALSE
956,T,Q80U58-2,sp|Q80U58-2|PUM2_MOUSE,Pum2,3,3,956,FALSE
979,T,Q8BH59,sp|Q8BH59|CMC1_MOUSE,Slc25a12,3,3,979,FALSE
983,T,Q8BJW6-2,sp|Q8BJW6-2|EIF2A_MOUSE,Eif2a,3,3,983,FALSE
994,T,Q8BP47,sp|Q8BP47|SYNC_MOUSE,Nars,3,3,994,FALSE
1012,T,Q8C2Q3-2,sp|Q8C2Q3-2|RBM14_MOUSE,Rbm14,3,3,1012,FALSE
1014,T,Q8C5L3-2,sp|Q8C5L3-2|CNOT2_MOUSE,Cnot2,3,3,1014,FALSE
1033,T,Q8K1N4-2,sp|Q8K1N4-2|SPAS2_MOUSE,Spats2,3,3,1033,FALSE
1040,T,Q8K4G5-2,sp|Q8K4G5-2|ABLM1_MOUSE,Ablim1,3,3,1040,FALSE
1041,T,Q8K4R9-2,sp|Q8K4R9-2|DLGP5_MOUSE,Dlgap5,3,3,1041,FALSE
1070,T,Q91VA7,tr|Q91VA7|Q91VA7_MOUSE,Idh3b,3,3,1070,FALSE
1105,T,Q99KD5,sp|Q99KD5|UN45A_MOUSE,Unc45a,3,3,1105,FALSE
1112,T,Q99LE6,sp|Q99LE6|ABCF2_MOUSE,Abcf2,3,3,1112,FALSE
1121,T,Q99NB9,sp|Q99NB9|SF3B1_MOUSE,Sf3b1,3,3,1121,FALSE
1122,T,Q99PA7,tr|Q99PA7|Q99PA7_MOUSE,4930550L24Rik,3,3,1122,FALSE
1151,T,Q9CZD3,sp|Q9CZD3|SYG_MOUSE,Gars,3,3,1151,FALSE
1200,T,Q9JJI8,sp|Q9JJI8|RL38_MOUSE,Rpl38,3,3,1200,FALSE
