,Treatment,Accession,Reference,Gene.Symbol,Count,Unique,Row,enriched
535,T,E9Q2W5,tr|E9Q2W5|E9Q2W5_MOUSE,Ythdf2,3,3,535,FALSE
541,T,E9Q740,tr|E9Q740|E9Q740_MOUSE,Srp72,3,3,541,FALSE
553,T,O08709,sp|O08709|PRDX6_MOUSE,Prdx6,3,3,553,FALSE
613,T,P09411,sp|P09411|PGK1_MOUSE,Pgk1,3,3,613,FALSE
636,T,P14152,sp|P14152|MDHC_MOUSE,Mdh1,3,3,636,FALSE
647,T,P16014,sp|P16014|SCG1_MOUSE,Chgb,3,3,647,FALSE
658,T,P17751,sp|P17751|TPIS_MOUSE,Tpi1,3,3,658,FALSE
694,T,P35564,sp|P35564|CALX_MOUSE,Canx,3,3,694,FALSE
767,T,P62137,sp|P62137|PP1A_MOUSE,Ppp1ca,3,3,767,FALSE
841,T,P97465,sp|P97465|DOK1_MOUSE,Dok1,3,3,841,FALSE
853,T,Q07646-2,sp|Q07646-2|MEST_MOUSE,Mest,3,3,853,FALSE
964,T,Q80U58-2,sp|Q80U58-2|PUM2_MOUSE,Pum2,3,3,964,FALSE
977,T,Q8BG05-2,sp|Q8BG05-2|ROA3_MOUSE,Hnrnpa3,3,3,977,FALSE
1017,T,Q8CIE6,sp|Q8CIE6|COPA_MOUSE,Copa,3,3,1017,FALSE
1024,T,Q8QZY1,sp|Q8QZY1|EIF3L_MOUSE,Eif3l,3,3,1024,FALSE
1053,T,Q922B2,sp|Q922B2|SYDC_MOUSE,Dars,3,3,1053,FALSE
1068,T,Q99KI0,sp|Q99KI0|ACON_MOUSE,Aco2,3,3,1068,FALSE
1111,T,Q9CZD3,sp|Q9CZD3|SYG_MOUSE,Gars,3,3,1111,FALSE
1145,T,Q9JKB3-2,sp|Q9JKB3-2|DBPA_MOUSE,Csda,3,3,1145,FALSE
1163,T,Q9QZD9,sp|Q9QZD9|EIF3I_MOUSE,Eif3i,3,3,1163,FALSE
