ID,EyeArea
1,16334.7
2,13622.8
3,30681.3
4,19482.9
5,9761.9
6,21765
7,17893.9
8,18854.2
9,18448.2
10,19732.8
11,12675.9
12,16234.9
13,12227.6
14,9803.2
15,13716.2
16,15653.6
17,15102.7
18,13577.5
19,10680.1
20,14360.6
21,14554
22,14050.3
23,35824.5
24,20708.6
25,25888.8
26,27340.9
27,29741.9
28,23616.8
29,22701.6
30,20731.9
31,23868.7
32,25267.9
33,22972.5
34,24832.7
35,32196.2
36,31634.3
37,25141.2
38,34170.7
39,19572.2
40,28253.3
41,25494.3
42,33187
43,24703.8
44,24631.3
45,28973.1
46,17266.6
47,18954
